   t/P,   v1r (km/s),    v2r (km/s),        Mbol,     dS (W),  y1p (AU),   z1p (AU),   y2p (AU),   z2p (AU),  ycmp (AU),  zcmp (AU)
0,112.824499,-118.868669,-2.457487,0,-0.01960575,0.0005505535,0.02065606,-0.0005800475,0,0
0.000999,114.247269,-120.367658,-2.457487,0,-0.01985318,0.0005472202,0.02091674,-0.0005765355,0,0
0.001998,115.660271,-121.856357,-2.457487,0,-0.0200993,0.0005438508,0.02117605,-0.0005729856,0,0
0.002997,117.063333,-123.334583,-2.457487,0,-0.02034411,0.0005404455,0.02143397,-0.000569398,0,0
0.003996,118.456281,-124.802153,-2.457487,0,-0.02058757,0.0005370047,0.02169048,-0.0005657728,0,0
0.004995,119.838946,-126.25889,-2.457487,0,-0.02082969,0.0005335284,0.02194556,-0.0005621103,0,0
0.005994,121.211161,-127.704617,-2.457487,0,-0.02107043,0.000530017,0.02219921,-0.0005584108,0,0
0.006993,122.572761,-129.139159,-2.457487,0,-0.0213098,0.0005264707,0.02245139,-0.0005546745,0,0
0.007992,123.923581,-130.562344,-2.457487,0,-0.02154776,0.0005228897,0.0227021,-0.0005509017,0,0
0.008991,125.263462,-131.974004,-2.457487,0,-0.02178431,0.0005192743,0.02295132,-0.0005470926,0,0
0.00999,126.592244,-133.373972,-2.457487,0,-0.02201942,0.0005156247,0.02319903,-0.0005432474,0,0
0.010989,127.909773,-134.762082,-2.457487,0,-0.02225309,0.0005119411,0.02344522,-0.0005393665,0,0
0.011988,129.215894,-136.138174,-2.457487,0,-0.02248531,0.0005082239,0.02368988,-0.0005354502,0,0
0.012987,130.510456,-137.502087,-2.457487,0,-0.02271604,0.0005044732,0.02393297,-0.0005314986,0,0
0.013986,131.793311,-138.853667,-2.457487,0,-0.02294529,0.0005006894,0.0241745,-0.000527512,0,0
0.014985,133.064313,-140.192758,-2.457487,0,-0.02317303,0.0004968726,0.02441444,-0.0005234908,0,0
0.015984,134.323319,-141.519211,-2.457487,0,-0.02339926,0.0004930232,0.02465279,-0.0005194352,0,0
0.016983,135.570189,-142.832877,-2.457487,0,-0.02362395,0.0004891414,0.02488952,-0.0005153454,0,0
0.017982,136.804784,-144.133611,-2.457487,0,-0.02384709,0.0004852275,0.02512462,-0.0005112219,0,0
0.018981,138.026969,-145.421271,-2.457487,0,-0.02406868,0.0004812818,0.02535807,-0.0005070648,0,0
0.01998,139.236614,-146.695718,-2.457487,0,-0.02428869,0.0004773045,0.02558987,-0.0005028744,0,0
0.020979,140.433587,-147.956815,-2.457487,0,-0.02450711,0.0004732959,0.02581999,-0.0004986511,0,0
0.021978,141.617763,-149.204429,-2.457487,0,-0.02472393,0.0004692564,0.02604843,-0.0004943951,0,0
0.022977,142.789017,-150.438429,-2.457487,0,-0.02493914,0.0004651861,0.02627516,-0.0004901067,0,0
0.023976,143.94723,-151.658689,-2.457487,0,-0.02515272,0.0004610853,0.02650019,-0.0004857863,0,0
0.024975,145.092284,-152.865085,-2.457487,0,-0.02536466,0.0004569545,0.02672348,-0.0004814342,0,0
0.025974,146.224063,-154.057495,-2.457487,0,-0.02557495,0.0004527937,0.02694503,-0.0004770505,0,0
0.026973,147.342457,-155.235803,-2.457487,0,-0.02578357,0.0004486034,0.02716483,-0.0004726358,0,0
0.027972,148.447355,-156.399892,-2.457487,0,-0.02599052,0.0004443839,0.02738286,-0.0004681902,0,0
0.028971,149.538654,-157.549653,-2.457487,0,-0.02619577,0.0004401354,0.02759912,-0.0004637141,0,0
0.02997,150.61625,-158.684978,-2.457487,0,-0.02639933,0.0004358582,0.02781358,-0.0004592078,0,0
0.030969,151.680044,-159.80576,-2.457487,0,-0.02660117,0.0004315527,0.02802623,-0.0004546716,0,0
0.031968,152.729939,-160.9119,-2.457487,0,-0.02680128,0.0004272191,0.02823707,-0.0004501058,0,0
0.032967,153.765842,-162.003298,-2.457487,0,-0.02699966,0.0004228578,0.02844607,-0.0004455109,0,0
0.033966,154.787664,-163.07986,-2.457487,0,-0.0271963,0.000418469,0.02865324,-0.000440887,0,0
0.034965,155.795317,-164.141495,-2.457487,0,-0.02739117,0.0004140531,0.02885855,-0.0004362345,0,0
0.035964,156.788717,-165.188113,-2.457487,0,-0.02758428,0.0004096104,0.029062,-0.0004315538,0,0
0.036963,157.767785,-166.219631,-2.457487,0,-0.0277756,0.0004051412,0.02926358,-0.0004268452,0,0
0.037962,158.732442,-167.235966,-2.457487,0,-0.02796514,0.0004006458,0.02946327,-0.0004221089,0,0
0.038961,159.682615,-168.237041,-2.457487,0,-0.02815287,0.0003961245,0.02966106,-0.0004173455,0,0
0.03996,160.618233,-169.222781,-2.457487,0,-0.0283388,0.0003915777,0.02985695,-0.0004125551,0,0
0.040959,161.539228,-170.193115,-2.457487,0,-0.0285229,0.0003870057,0.03005091,-0.0004077381,0,0
0.041958,162.445535,-171.147974,-2.457487,0,-0.02870517,0.0003824088,0.03024295,-0.000402895,0,0
0.042957,163.337093,-172.087294,-2.457487,0,-0.02888561,0.0003777873,0.03043305,-0.0003980259,0,0
0.043956,164.213844,-173.011014,-2.457487,0,-0.02906419,0.0003731415,0.0306212,-0.0003931313,0,0
0.044955,165.075733,-173.919075,-2.457487,0,-0.02924092,0.0003684719,0.0308074,-0.0003882115,0,0
0.045954,165.922708,-174.811425,-2.457487,0,-0.02941578,0.0003637787,0.03099163,-0.0003832668,0,0
0.046953,166.754721,-175.68801,-2.457487,0,-0.02958877,0.0003590622,0.03117388,-0.0003782976,0,0
0.047952,167.571727,-176.548784,-2.457487,0,-0.02975987,0.0003543228,0.03135415,-0.0003733043,0,0
0.048951,168.373683,-177.393702,-2.457487,0,-0.02992908,0.0003495607,0.03153242,-0.0003682872,0,0
0.04995,169.160551,-178.222723,-2.457487,0,-0.03009639,0.0003447765,0.03170869,-0.0003632467,0,0
0.050949,169.932294,-179.03581,-2.457487,0,-0.03026179,0.0003399703,0.03188295,-0.000358183,0,0
0.051948,170.688881,-179.832928,-2.457487,0,-0.03042527,0.0003351425,0.0320552,-0.0003530966,0,0
0.052947,171.43028,-180.614046,-2.457487,0,-0.03058683,0.0003302935,0.03222541,-0.0003479878,0,0
0.053946,172.156467,-181.379135,-2.457487,0,-0.03074646,0.0003254236,0.03239359,-0.000342857,0,0
0.054945,172.867418,-182.128173,-2.457487,0,-0.03090415,0.0003205331,0.03255973,-0.0003377045,0,0
